Month_Year,Region,Crop,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Soil_Texture,Soil_Saturation_pct,Land_Size_acres,Past_Yield_tons_acre,Suitable_Crop
01-2016,Central,Maize,52.76,15.98,80.46,6.22,Clay Loam,71.2,4.49,1.21,Tea
01-2016,Central,Maize,23.84,18.49,67.55,6.15,Loam,42.0,5.99,0.409,Tea
01-2016,Central,Beans,115.27,13.33,77.49,5.55,Sandy Loam,43.6,8.36,0.512,Tea
01-2016,Central,Coffee,44.4,19.3,68.87,6.38,Sandy Loam,54.4,9.77,1.22,Tea
01-2016,Central,Maize,77.27,16.43,68.44,5.53,Loam,48.0,4.57,1.611,Tea
01-2016,Central,Potatoes,0.0,17.14,73.47,6.43,Clay Loam,68.0,4.49,2.198,Potatoes
01-2016,Central,Beans,83.84,16.23,75.55,6.51,Sandy Loam,44.8,4.91,1.048,Tea
01-2016,Central,Potatoes,36.1,19.31,97.5,6.23,Clay Loam,65.2,9.43,3.909,Tea
01-2016,Central,Potatoes,93.41,14.91,89.06,5.42,Clay Loam,78.8,2.46,2.883,Tea
01-2016,Rift Valley,Potatoes,21.42,16.2,61.1,5.78,Sandy Loam,34.4,0.72,4.529,Tea
01-2016,Rift Valley,Tea,18.84,18.93,69.52,6.73,Clay Loam,65.2,5.71,1.838,Tea
01-2016,Rift Valley,Millet,101.93,25.06,53.85,6.19,Clay Loam,64.7,8.65,0.853,Tea
01-2016,Rift Valley,Maize,67.1,22.44,73.05,6.01,Loam,48.6,9.61,1.986,Tea
01-2016,Rift Valley,Maize,52.65,19.63,58.0,7.01,Loam,46.1,3.62,1.829,Tea
01-2016,Rift Valley,Tea,65.27,22.0,53.01,6.0,Sandy Loam,52.8,7.04,2.982,Tea
01-2016,Rift Valley,Maize,41.44,20.18,45.61,5.81,Clay Loam,71.5,1.31,2.211,Tea
01-2016,Rift Valley,Maize,0.0,15.78,52.82,5.89,Clay Loam,76.8,3.64,0.521,Potatoes
01-2016,Rift Valley,Potatoes,20.44,15.52,75.9,6.24,Volcanic,58.6,6.04,4.977,Tea
01-2016,Rift Valley,Maize,0.0,17.47,56.57,6.23,Loam,34.8,9.28,1.349,Potatoes
01-2016,Rift Valley,Millet,67.7,16.8,52.98,5.52,Clay Loam,78.0,0.93,0.601,Tea
01-2016,Rift Valley,Maize,112.58,17.58,51.6,5.7,Loam,44.8,3.92,1.027,Tea
01-2016,Rift Valley,Millet,23.09,19.85,53.55,5.2,Clay Loam,59.0,8.31,0.446,Tea
01-2016,Rift Valley,Wheat,64.32,24.43,67.0,5.93,Loam,43.4,7.89,1.334,Tea
01-2016,Rift Valley,Maize,19.06,24.31,62.59,6.62,Clay Loam,46.3,1.04,1.527,Tea
01-2016,Rift Valley,Maize,39.76,20.14,55.5,6.31,Loam,46.7,2.47,1.93,Tea
01-2016,Rift Valley,Millet,0.0,19.2,54.82,6.45,Clay Loam,81.5,4.33,0.05,Wheat
01-2016,Rift Valley,Beans,89.22,22.63,55.66,5.83,Volcanic,59.9,5.77,0.627,Tea
01-2016,Rift Valley,Millet,51.59,25.16,68.66,5.95,Loam,60.4,1.9,0.854,Tea
01-2016,Rift Valley,Beans,0.0,19.83,63.84,5.98,Clay Loam,55.8,3.74,0.238,Beans
01-2016,Rift Valley,Millet,117.65,16.69,76.12,5.59,Volcanic,56.8,5.0,0.639,Tea
01-2016,Rift Valley,Wheat,24.69,18.57,51.85,5.72,Clay Loam,79.7,9.0,0.852,Tea
01-2016,Rift Valley,Potatoes,0.0,16.52,59.58,5.55,Loam,56.8,2.25,1.881,Potatoes
01-2016,Rift Valley,Maize,30.41,13.09,44.85,6.68,Volcanic,54.5,1.76,1.412,Tea
01-2016,Rift Valley,Maize,55.31,21.95,48.3,5.17,Volcanic,51.7,3.56,0.948,Tea
01-2016,Rift Valley,Wheat,13.81,18.95,62.18,6.46,Volcanic,66.4,6.05,1.124,Tea
01-2016,Rift Valley,Beans,109.07,24.17,39.92,6.53,Clay Loam,81.6,3.88,1.081,Tea
01-2016,Rift Valley,Millet,0.0,21.69,53.49,5.76,Sandy Loam,36.4,0.55,0.335,Maize
01-2016,Rift Valley,Potatoes,99.42,19.78,65.66,6.42,Sandy Loam,26.6,2.28,3.016,Tea
01-2016,Rift Valley,Wheat,48.91,11.78,55.41,5.85,Loam,50.7,9.35,1.102,Tea
01-2016,Rift Valley,Beans,0.0,23.73,80.67,5.03,Loam,45.2,7.72,0.285,Maize
01-2016,Rift Valley,Millet,0.0,17.61,65.77,5.9,Loam,45.5,9.91,0.05,Potatoes
01-2016,Rift Valley,Maize,61.85,19.43,65.79,6.25,Clay Loam,64.2,8.24,1.659,Tea
01-2016,Nyanza,Beans,0.0,22.72,73.11,6.27,Sandy Loam,39.4,5.63,0.206,Maize
01-2016,Nyanza,Maize,0.0,23.99,79.81,4.63,Clay,79.9,9.43,0.972,Maize
01-2016,Nyanza,Maize,22.09,21.2,78.57,6.42,Clay Loam,67.6,3.46,0.867,Maize
01-2016,Nyanza,Maize,109.52,22.8,72.57,6.21,Clay Loam,52.5,6.24,1.563,Maize
01-2016,Nyanza,Maize,16.82,27.95,84.9,5.56,Sandy Loam,46.9,2.89,0.871,Maize
01-2016,Nyanza,Beans,0.0,24.99,79.58,5.77,Clay Loam,66.4,0.67,0.64,Maize
01-2016,Nyanza,Beans,58.18,23.45,78.37,5.91,Sandy Loam,39.9,4.53,0.977,Maize
01-2016,Nyanza,Maize,17.88,21.75,75.39,6.35,Sandy Loam,31.2,8.13,0.431,Maize
01-2016,Nyanza,Millet,17.06,18.69,80.76,5.84,Clay Loam,53.4,6.08,0.05,Maize
01-2016,Nyanza,Beans,47.17,22.63,66.64,5.94,Clay,78.5,6.51,0.492,Maize
01-2016,Nyanza,Maize,16.87,23.03,69.41,5.72,Clay,74.2,4.27,0.923,Maize
01-2016,Nyanza,Maize,33.37,24.26,90.8,5.51,Clay,100.0,7.87,1.228,Maize
01-2016,Nyanza,Maize,0.0,24.18,83.72,4.76,Sandy Loam,32.6,7.66,0.362,Maize
01-2016,Nyanza,Maize,56.5,23.9,83.56,4.71,Sandy Loam,43.6,1.49,1.771,Maize
01-2016,Nyanza,Millet,72.52,19.89,72.55,5.69,Clay Loam,78.6,9.47,0.555,Maize
01-2016,Nyanza,Maize,0.0,20.2,76.62,5.44,Clay,80.6,8.98,1.117,Beans
01-2016,Nyanza,Maize,8.64,20.37,84.21,4.92,Clay,87.9,8.68,0.467,Maize
01-2016,Nyanza,Beans,60.27,20.05,74.86,5.97,Clay,99.2,7.14,0.681,Maize
01-2016,Nyanza,Maize,76.8,19.6,67.69,5.69,Clay,77.5,9.19,0.867,Maize
01-2016,Nyanza,Maize,0.0,23.1,89.04,6.16,Clay Loam,60.5,3.0,0.517,Maize
01-2016,Nyanza,Maize,20.93,23.69,74.31,6.95,Clay Loam,64.8,5.43,0.56,Maize
01-2016,Nyanza,Beans,73.15,20.55,76.31,5.42,Clay Loam,75.3,6.3,1.241,Maize
01-2016,Nyanza,Maize,73.23,21.76,74.65,5.24,Clay Loam,64.1,6.17,1.27,Maize
01-2016,Nyanza,Maize,41.25,22.49,76.26,5.63,Clay,86.2,1.22,1.045,Maize
01-2016,Nyanza,Beans,90.31,20.81,76.52,6.77,Clay Loam,79.8,6.55,1.333,Maize
01-2016,Nyanza,Maize,63.96,23.47,73.02,5.86,Clay Loam,74.7,7.13,1.224,Maize
01-2016,Nyanza,Beans,52.72,23.36,75.2,5.81,Clay Loam,85.2,3.96,0.901,Maize
01-2016,Nyanza,Maize,91.53,21.9,57.29,6.45,Sandy Loam,38.1,8.01,1.204,Maize
01-2016,Nyanza,Maize,85.98,22.57,65.55,6.09,Sandy Loam,41.3,2.26,1.346,Maize
01-2016,Nyanza,Beans,149.42,20.7,70.26,5.04,Clay Loam,59.0,2.77,0.495,Maize
01-2016,Nyanza,Maize,4.87,20.16,67.97,5.42,Clay,81.9,1.54,0.678,Maize
01-2016,Nyanza,Beans,30.39,23.6,76.92,5.83,Sandy Loam,36.1,2.09,0.959,Maize
01-2016,Nyanza,Millet,96.96,25.24,64.01,5.84,Clay Loam,66.5,8.35,0.953,Maize
01-2016,Western,Millet,10.45,22.43,93.01,6.09,Clay Loam,62.5,7.11,0.05,Maize
01-2016,Western,Maize,39.49,22.58,79.22,5.29,Clay Loam,49.0,5.03,0.784,Tea
01-2016,Western,Tea,83.61,20.5,72.56,6.29,Loam,54.5,1.54,3.06,Tea
01-2016,Western,Beans,64.3,23.58,78.91,6.25,Sandy Loam,47.0,5.45,1.183,Tea
01-2016,Western,Beans,35.92,19.81,75.21,5.52,Clay Loam,75.3,7.65,0.533,Tea
01-2016,Western,Maize,47.07,18.92,73.86,6.1,Sandy Loam,37.6,3.23,1.733,Tea
01-2016,Western,Millet,63.53,21.22,82.52,5.36,Clay Loam,65.7,5.64,0.884,Tea
01-2016,Western,Beans,112.87,17.4,79.05,6.06,Sandy Loam,46.7,1.05,0.711,Tea
01-2016,Western,Maize,38.06,25.78,84.62,6.59,Loam,61.0,0.51,0.911,Tea
01-2016,Western,Maize,90.76,20.88,85.79,5.94,Loam,63.5,9.53,1.137,Tea
01-2016,Western,Maize,89.59,20.75,89.08,5.47,Sandy Loam,36.7,3.55,1.936,Tea
01-2016,Western,Tea,29.99,22.6,80.42,6.18,Sandy Loam,35.8,2.26,3.115,Tea
01-2016,Western,Tea,91.99,22.81,80.76,6.14,Loam,49.4,9.69,1.595,Tea
01-2016,Western,Maize,130.75,24.75,80.19,5.27,Clay Loam,75.1,6.11,1.275,Tea
01-2016,Western,Millet,144.28,20.04,79.97,5.87,Sandy Loam,50.4,7.91,0.407,Tea
01-2016,Western,Millet,22.21,20.88,77.98,5.44,Sandy Loam,31.2,9.44,0.05,Tea
01-2016,Western,Millet,105.13,21.23,69.69,5.46,Sandy Loam,54.6,2.4,0.602,Tea
01-2016,Western,Beans,73.98,19.0,88.87,6.04,Sandy Loam,48.8,5.1,1.128,Tea
01-2016,Western,Maize,152.33,23.93,77.4,6.5,Loam,71.5,1.07,1.136,Tea
01-2016,Western,Beans,19.52,19.68,81.71,6.35,Loam,40.5,5.19,0.315,Tea
01-2016,Western,Beans,5.43,19.81,69.93,5.75,Loam,59.0,7.56,0.258,Tea
01-2016,Western,Millet,11.43,17.34,79.35,6.32,Sandy Loam,34.7,9.06,0.173,Tea
01-2016,Western,Maize,89.68,17.06,86.86,6.45,Loam,60.5,6.22,1.554,Tea
01-2016,Western,Maize,72.11,15.19,73.78,5.84,Clay Loam,73.0,5.39,1.163,Tea
01-2016,Western,Maize,14.35,21.8,80.25,5.87,Sandy Loam,49.5,2.75,0.839,Tea
01-2016,Western,Beans,56.23,23.49,74.45,5.12,Sandy Loam,36.5,9.51,0.571,Tea
01-2016,Western,Maize,8.48,17.22,68.18,6.38,Clay Loam,71.1,8.71,1.025,Tea
01-2016,Western,Beans,40.98,21.11,70.58,6.15,Clay Loam,65.5,0.89,0.537,Tea
01-2016,Western,Maize,100.68,21.87,83.99,4.74,Sandy Loam,43.5,1.76,0.812,Tea
01-2016,Western,Millet,65.16,21.3,75.63,5.73,Loam,48.3,2.18,0.913,Tea
01-2016,Western,Maize,61.21,26.01,83.78,6.02,Clay Loam,76.9,6.76,1.409,Tea
01-2016,Western,Maize,30.35,21.74,84.03,5.8,Clay Loam,64.4,6.68,1.706,Tea
01-2016,Western,Maize,57.85,22.92,82.74,5.74,Clay Loam,68.9,3.58,1.242,Tea
01-2016,Eastern,Maize,77.0,22.04,40.09,5.21,Sandy Loam,21.6,6.08,1.137,Maize
01-2016,Eastern,Maize,67.24,27.44,81.42,6.52,Sandy,19.7,4.11,1.263,Maize
01-2016,Eastern,Beans,59.84,33.54,63.84,6.84,Sandy,29.8,8.31,0.701,Maize
01-2016,Eastern,Beans,33.05,26.33,37.83,6.21,Sandy Loam,30.6,2.94,0.341,Maize
01-2016,Eastern,Beans,58.29,22.84,30.88,6.74,Sandy,15.0,1.66,0.713,Maize
01-2016,Eastern,Millet,0.09,26.93,68.47,6.63,Sandy Loam,22.3,5.09,0.314,Millet
01-2016,Eastern,Beans,11.8,25.22,54.72,6.58,Loam,52.6,8.04,0.565,Maize
01-2016,Eastern,Maize,15.28,21.22,51.77,6.66,Sandy Loam,41.7,8.31,0.875,Maize
01-2016,Eastern,Millet,8.96,25.98,41.65,7.79,Sandy,16.9,4.99,0.079,Maize
01-2016,Eastern,Beans,12.74,21.72,43.0,6.11,Loam,46.2,5.22,0.599,Maize
01-2016,Eastern,Beans,41.6,22.3,35.64,5.35,Loam,60.4,3.7,0.898,Maize
01-2016,Eastern,Maize,6.71,28.04,61.31,7.53,Sandy Loam,26.5,1.16,0.715,Millet
01-2016,Eastern,Maize,36.18,19.55,53.31,7.0,Sandy,19.8,1.0,1.072,Maize
01-2016,Eastern,Maize,0.0,22.8,41.75,6.6,Sandy Loam,39.3,5.59,0.118,Maize
01-2016,Eastern,Millet,76.67,23.93,63.14,5.77,Loam,45.1,9.31,0.775,Maize
01-2016,Eastern,Beans,31.42,29.29,42.51,6.64,Loam,54.0,2.01,0.196,Maize
01-2016,Eastern,Maize,20.44,23.57,38.43,5.58,Sandy,21.7,4.27,1.093,Maize
01-2016,Eastern,Beans,40.82,33.73,49.94,7.0,Sandy,6.1,4.27,0.56,Maize
01-2016,Eastern,Maize,73.45,28.79,67.74,6.66,Loam,48.3,4.33,0.981,Maize
01-2016,Eastern,Maize,0.0,29.6,50.51,6.6,Sandy Loam,29.2,6.26,0.334,Millet
01-2016,Eastern,Beans,37.77,24.6,55.1,7.1,Sandy,26.0,3.46,0.59,Maize
01-2016,Eastern,Maize,0.99,24.5,37.9,6.86,Sandy,6.8,5.86,0.389,Maize
01-2016,Eastern,Beans,26.79,19.82,56.46,7.32,Loam,46.4,1.09,0.511,Maize
01-2016,Eastern,Beans,0.0,28.19,55.0,7.87,Loam,57.0,6.71,0.05,Millet
01-2016,Eastern,Beans,0.0,34.45,45.94,5.8,Sandy Loam,34.8,0.68,0.05,Millet
01-2016,Eastern,Maize,12.78,26.37,35.21,6.61,Sandy Loam,39.0,1.11,0.353,Maize
01-2016,Eastern,Beans,0.0,22.33,49.9,7.83,Loam,46.9,8.2,0.256,Maize
01-2016,Eastern,Maize,19.95,28.59,52.91,6.06,Sandy Loam,31.2,8.49,0.537,Maize
01-2016,Eastern,Millet,26.52,28.22,64.11,7.23,Loam,39.3,4.78,0.532,Maize
01-2016,Eastern,Maize,11.04,24.73,60.93,6.85,Loam,44.1,3.82,1.411,Maize
01-2016,Eastern,Maize,0.0,26.88,61.86,6.93,Sandy,24.9,2.45,0.253,Millet
01-2016,Eastern,Maize,69.01,26.95,54.56,7.8,Sandy,21.0,5.01,0.84,Maize
01-2016,Eastern,Millet,54.12,24.9,73.64,6.75,Sandy,19.8,2.63,0.473,Maize
01-2016,Coastal,Maize,0.0,24.1,83.48,6.07,Sandy Loam,36.7,0.62,1.528,Maize
01-2016,Coastal,Maize,0.0,30.27,77.9,6.27,Clay Loam,71.7,8.5,0.914,Millet
01-2016,Coastal,Beans,74.81,30.35,81.09,5.35,Clay Loam,71.1,1.53,0.734,Maize
01-2016,Coastal,Maize,0.0,27.92,74.16,5.11,Sandy,21.9,5.87,1.144,Millet
01-2016,Coastal,Beans,58.1,29.8,76.27,6.24,Sandy Loam,48.5,8.87,0.65,Maize
01-2016,Coastal,Maize,53.92,27.61,72.24,6.54,Sandy,28.5,3.88,1.906,Maize
01-2016,Coastal,Beans,34.97,28.03,75.29,6.32,Sandy Loam,42.9,8.5,0.607,Maize
01-2016,Coastal,Maize,0.0,28.01,89.38,5.37,Sandy Loam,36.8,4.42,1.046,Millet
01-2016,Coastal,Beans,99.99,26.85,81.09,5.58,Sandy,20.5,5.83,0.88,Maize
01-2016,Coastal,Maize,123.21,29.91,76.25,6.41,Clay Loam,64.6,3.68,1.756,Maize
01-2016,Coastal,Maize,89.06,29.36,63.36,6.4,Sandy Loam,33.7,2.6,1.344,Maize
01-2016,Coastal,Millet,51.16,29.15,91.17,5.46,Clay Loam,65.7,4.15,0.601,Maize
01-2016,Coastal,Beans,0.0,28.7,71.54,5.41,Sandy,25.7,7.13,0.503,Millet
01-2016,Coastal,Beans,21.1,29.06,75.85,4.89,Sandy,26.6,6.5,0.05,Maize
01-2016,Coastal,Maize,27.96,26.0,79.68,6.41,Sandy,13.6,9.11,0.82,Maize
01-2016,Coastal,Maize,87.35,26.39,88.96,5.86,Sandy,20.2,9.11,0.948,Maize
01-2016,Coastal,Maize,0.0,29.77,84.42,5.86,Sandy Loam,37.8,8.88,0.668,Millet
01-2016,Coastal,Maize,66.03,29.11,79.37,7.18,Sandy,29.7,5.87,1.187,Maize
01-2016,Coastal,Maize,45.67,28.7,75.15,5.84,Sandy Loam,32.4,7.0,1.587,Maize
01-2016,Coastal,Maize,92.27,23.43,81.44,6.71,Sandy Loam,39.0,2.07,2.035,Maize
01-2016,Coastal,Beans,63.49,29.81,65.82,5.5,Sandy,16.4,1.56,0.724,Maize
01-2016,Coastal,Maize,0.0,27.93,80.77,6.53,Sandy Loam,37.9,2.93,1.254,Millet
01-2016,Coastal,Maize,120.8,28.76,90.97,7.01,Sandy Loam,30.8,8.08,1.112,Maize
01-2016,Coastal,Maize,0.0,25.93,79.24,5.56,Clay Loam,65.9,8.03,0.732,Millet
01-2016,Coastal,Beans,101.07,29.07,84.59,5.9,Sandy Loam,43.9,3.51,0.981,Maize
01-2016,Coastal,Maize,28.39,28.97,76.72,5.74,Sandy,27.7,8.09,1.896,Maize
01-2016,Coastal,Maize,0.0,30.28,79.95,6.15,Sandy,29.2,8.88,0.68,Millet
01-2016,Coastal,Maize,101.04,33.18,83.48,6.16,Sandy Loam,42.4,3.32,1.891,Maize
01-2016,Coastal,Beans,55.97,27.14,72.03,6.54,Sandy Loam,38.9,2.82,0.532,Maize
01-2016,Coastal,Beans,53.85,27.08,85.14,5.92,Clay Loam,80.6,6.4,0.656,Maize
01-2016,Coastal,Beans,36.52,30.45,80.23,6.07,Sandy,12.4,1.16,0.38,Maize
01-2016,Coastal,Maize,21.56,29.05,76.94,6.39,Clay Loam,73.0,3.92,0.43,Maize
01-2016,Coastal,Beans,16.51,30.89,82.06,6.11,Sandy,26.6,2.97,0.606,Maize
01-2016,North Eastern,Millet,23.71,39.6,33.94,6.71,Sandy Loam,31.6,4.42,0.15,Millet
01-2016,North Eastern,Millet,6.21,31.93,31.76,7.17,Sandy Loam,41.0,9.15,0.16,Millet
01-2016,North Eastern,Millet,27.31,29.89,40.28,7.01,Sandy Loam,33.3,3.0,0.075,Millet
01-2016,North Eastern,Millet,0.0,34.11,40.96,6.76,Sandy,23.4,8.98,0.05,Millet
01-2016,North Eastern,Millet,10.76,31.32,35.56,7.78,Sandy,14.1,7.51,0.05,Millet
01-2016,North Eastern,Millet,0.0,31.56,27.11,6.97,Sandy Loam,47.9,7.18,0.05,Millet
01-2016,North Eastern,Millet,0.0,32.12,32.95,6.0,Sandy Loam,27.8,9.85,0.05,Millet
01-2016,North Eastern,Millet,27.61,31.14,41.45,7.3,Sandy,19.6,6.3,0.05,Millet
01-2016,North Eastern,Millet,13.87,26.17,32.53,6.82,Sandy,9.1,0.92,0.064,Millet
01-2016,North Eastern,Millet,2.82,35.41,36.06,7.87,Sandy,28.7,7.17,0.179,Millet
01-2016,North Eastern,Millet,5.85,29.39,23.98,6.27,Sandy Loam,38.0,6.91,0.12,Millet
01-2016,North Eastern,Millet,23.96,33.68,31.98,7.49,Sandy Loam,29.5,1.65,0.05,Millet
01-2016,North Eastern,Millet,10.31,32.31,33.2,6.87,Sandy,34.8,8.94,0.078,Millet
01-2016,North Eastern,Millet,0.0,32.03,38.61,6.66,Sandy,10.9,4.51,0.05,Millet
01-2016,North Eastern,Millet,57.14,30.06,19.32,7.57,Sandy,31.2,1.24,0.568,Millet
01-2016,North Eastern,Millet,16.87,36.2,30.5,6.54,Sandy,6.3,4.03,0.111,Millet
01-2016,North Eastern,Millet,29.71,36.51,26.27,6.99,Sandy,18.3,9.49,0.141,Millet
01-2016,North Eastern,Millet,0.0,33.34,38.49,7.86,Sandy,27.7,2.57,0.318,Millet
01-2016,North Eastern,Millet,44.02,30.15,34.63,6.63,Sandy Loam,37.4,1.44,0.381,Millet
01-2016,North Eastern,Millet,10.02,34.95,22.14,6.75,Sandy,6.1,1.6,0.264,Millet
01-2016,North Eastern,Millet,24.12,30.66,44.38,7.38,Sandy,22.8,0.79,0.436,Millet
01-2016,North Eastern,Millet,56.38,24.78,30.87,6.86,Sandy,8.4,2.35,0.314,Millet
01-2016,North Eastern,Millet,0.0,28.54,35.49,7.45,Sandy,22.3,1.93,0.126,Millet
01-2016,North Eastern,Millet,23.02,29.38,27.78,7.73,Sandy Loam,51.8,4.25,0.112,Millet
01-2016,North Eastern,Millet,56.57,25.99,37.03,7.43,Sandy,18.5,5.72,0.351,Millet
01-2016,North Eastern,Millet,6.47,39.87,35.15,7.53,Sandy Loam,44.3,4.07,0.05,Millet
01-2016,North Eastern,Millet,23.16,29.1,36.92,5.99,Sandy,32.1,4.83,0.25,Millet
01-2016,North Eastern,Millet,37.79,38.78,34.15,7.9,Sandy,31.2,1.09,0.373,Millet
01-2016,North Eastern,Millet,22.39,20.24,40.25,7.3,Sandy Loam,54.0,8.29,0.099,Millet
01-2016,North Eastern,Millet,16.03,38.9,34.01,7.02,Sandy,15.7,7.8,0.144,Millet
01-2016,North Eastern,Millet,22.24,33.8,28.86,7.31,Sandy,13.4,0.73,0.158,Millet
01-2016,North Eastern,Millet,47.66,35.14,48.8,7.54,Sandy,22.6,1.23,0.446,Millet
01-2016,North Eastern,Millet,23.49,35.75,22.14,6.82,Sandy Loam,33.9,1.95,0.14,Millet
02-2016,Central,Beans,47.62,17.15,73.38,6.68,Sandy Loam,37.9,6.65,0.532,Tea
02-2016,Central,Maize,46.07,20.51,89.5,5.68,Sandy Loam,39.0,7.28,1.916,Tea
02-2016,Central,Maize,52.93,21.42,62.75,6.23,Loam,47.1,8.88,2.078,Tea
02-2016,Central,Maize,16.9,20.34,65.04,6.11,Clay Loam,60.8,7.22,0.479,Tea
02-2016,Central,Tea,70.59,15.83,66.74,6.08,Clay Loam,70.0,5.93,3.066,Tea
02-2016,Central,Beans,42.46,19.6,76.83,6.13,Loam,54.2,4.18,0.831,Tea
02-2016,Central,Maize,61.5,15.96,73.53,6.23,Loam,53.8,1.5,1.812,Tea
02-2016,Central,Potatoes,32.69,18.35,75.26,6.15,Clay Loam,58.7,7.82,1.896,Tea
02-2016,Central,Beans,37.24,18.82,54.68,6.74,Sandy Loam,41.8,8.86,0.371,Tea
02-2016,Central,Tea,74.96,22.01,66.06,6.03,Loam,56.7,1.0,2.573,Tea
02-2016,Central,Coffee,119.85,15.52,80.02,6.41,Sandy Loam,27.0,0.64,1.001,Tea
02-2016,Central,Coffee,38.98,15.51,51.5,6.12,Clay Loam,64.9,8.84,0.709,Tea
02-2016,Central,Maize,88.19,16.62,58.43,6.07,Clay Loam,72.9,0.66,1.787,Tea
02-2016,Central,Potatoes,38.7,18.48,79.85,5.9,Sandy Loam,42.0,5.9,4.127,Tea
02-2016,Central,Maize,76.66,18.33,76.16,6.98,Clay Loam,56.4,1.95,2.036,Tea
02-2016,Central,Tea,55.2,18.37,67.04,7.16,Loam,59.6,2.77,2.446,Tea
02-2016,Central,Maize,84.59,21.37,83.76,6.33,Clay Loam,63.9,6.41,1.861,Tea
02-2016,Central,Coffee,12.49,18.62,75.99,6.66,Loam,54.1,9.5,0.486,Tea
02-2016,Central,Maize,54.86,22.36,73.33,6.05,Sandy Loam,31.1,9.6,1.732,Tea
02-2016,Central,Beans,45.95,13.93,67.76,6.29,Sandy Loam,26.8,5.83,0.973,Tea
02-2016,Central,Maize,74.44,17.89,65.29,6.36,Loam,57.3,9.63,1.03,Tea
02-2016,Central,Potatoes,0.0,19.16,88.19,5.65,Loam,43.4,4.25,4.638,Coffee
02-2016,Central,Coffee,43.07,19.0,75.26,6.41,Loam,50.2,9.62,1.278,Tea
02-2016,Central,Potatoes,55.01,20.64,75.71,6.42,Sandy Loam,33.8,8.18,2.758,Tea
02-2016,Central,Coffee,29.11,14.36,99.97,5.61,Loam,40.7,9.23,1.304,Tea
02-2016,Central,Maize,0.0,20.52,66.52,6.52,Clay Loam,76.0,2.32,1.257,Beans
02-2016,Central,Potatoes,46.26,15.62,68.74,6.47,Clay Loam,80.8,4.56,2.967,Tea
02-2016,Central,Coffee,40.38,18.43,79.03,6.14,Sandy Loam,35.5,5.03,1.242,Tea
02-2016,Central,Beans,58.1,14.69,67.59,5.79,Loam,53.6,3.3,1.088,Tea
02-2016,Central,Beans,18.73,17.78,79.2,6.5,Sandy Loam,36.4,0.93,0.412,Tea
02-2016,Central,Maize,40.82,19.67,85.35,7.17,Clay Loam,72.6,9.74,0.852,Tea
02-2016,Central,Potatoes,13.22,15.29,77.43,5.74,Loam,62.5,9.01,4.342,Tea
02-2016,Central,Potatoes,20.22,15.69,69.13,5.87,Loam,46.2,6.78,2.073,Tea
